Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State 2me
3,Indoor,1,4,1,27.09017291,93.60532469,2
3,Indoor,1,5,1,18.59988333,73.82366333,2
3,Outdoor,1,1,2,25.20865849,85.3582094,2
3,Indoor,1,2,2,22.99424313,72.519614,2
2,Indoor,1,4,1,16.88402651,79.69179825,2
3,Indoor,1,4,1,18.51964129,73.85630752,2
3,Indoor,1,1,3,13.1143764,77.6358527,2
3,Outdoor,1,1,2,16.29456,80.44299,Andhra Pradesh
2,Outdoor,1,5,1,28.5460999,77.3331274,2
3,Indoor,1,3,2,16.32419113,80.47851216,2
2,Indoor,1,2,2,-1,-1,2
2,Indoor,1,2,2,-1,-1,2
2,Indoor,1,1,2,-1,-1,2
2,Indoor,1,1,2,-1,-1,2
2,Indoor,1,1,2,-1,-1,2
2,Indoor,1,2,2,-1,-1,2
2,Indoor,1,2,2,28.6768606,77.2848997,2
2,Travelling,1,1,2,28.6768446,77.2848997,2
2,Indoor,1,1,2,28.6768446,77.2848997,2
2,Outdoor,1,1,2,28.6768625,77.2849021,2
2,Indoor,2,1,2,28.6660251,77.2177769,2
2,Indoor,1,1,3,28.6769176,77.2848722,2
2,Indoor,1,1,2,28.6768776,77.2849003,2
2,Indoor,1,1,2,28.6768776,77.2849003,2
2,Indoor,1,1,2,28.6768774,77.2849017,2
2,Indoor,2,1,3,28.6673622,77.2278985,2
2,Indoor,1,1,3,28.6673622,77.2278985,2
2,Indoor,1,1,3,28.6673622,77.2278985,2
2,Indoor,1,1,3,28.6768603,77.2849042,2
2,Indoor,1,1,3,28.6768603,77.2849042,2
2,Indoor,1,1,3,28.6768603,77.2849042,2
2,Indoor,1,1,2,28.6768603,77.2849042,2
2,Travelling,1,1,2,28.673744,77.28164,2
2,Indoor,1,1,2,28.6768781,77.2849018,2
2,Outdoor,1,1,2,28.6667777,77.2204289,2
2,Outdoor,2,1,2,28.6667777,77.2204289,2
2,Indoor,2,1,2,28.6668547,77.2204272,2
2,Outdoor,1,1,2,28.6768182,77.2849165,2
2,Indoor,3,1,2,28.6769499,77.2849032,2
2,Outdoor,1,1,2,13.0440619,80.2291854,2
2,Outdoor,1,1,2,12.9823267,80.1674526,2
3,Indoor,1,5,1,22.51980667,88.34577833,2
2,Indoor,1,4,1,16.88402651,79.69179825,2
3,Travelling,1,4,1,23.218582,87.89432,West Bengal
5,Travelling,2,1,2,29.36562748,76.981664,2
3,Travelling,1,5,1,22.0965089,87.7492948,2
3,Indoor,1,3,2,17.44475997,78.37347251,2
3,Indoor,1,1,3,-1,-1,2
2,Indoor,1,2,2,13.0225793,77.712276,2
4,Indoor,2,4,1,22.6325298,88.37320222,2
3,Indoor,1,3,2,16.32418773,80.47850937,2
2,Outdoor,1,5,1,12.9017438,77.6082609,2
2,Outdoor,1,4,1,22.758047,75.863045,2
5,Travelling,2,1,2,29.36562748,76.981664,2
2,Indoor,1,4,1,28.87556448,76.64404272,2
3,Indoor,1,5,1,18.59988333,73.82366333,2
3,Travelling,1,5,1,25.62776373,85.11227725,2
2,Indoor,2,4,1,22.80066591,86.18816872,2
3,Travelling,2,5,1,13.092151,77.39567,Kar2taka
3,Indoor,1,5,1,-1,-1,2
5,Outdoor,2,1,2,29.36562748,76.981664,2
