test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address,km_between
126554527,"708D64C2EF1F4BA4ADF7DA28430B0E6B","2019-09-01 00:06:57","2019-09-01 00:07:26","7805988","5","95.71.xxx.xxx",94577,104550,6,"Buzuluk","Russian Federation","RU",52.7833,52.2500,"City-Line","Rostelecom","1","22","2","Russia","RU","Orenburg Oblast","ORE","Buzuluk",52.783,52.250,0,"Buzuluk, Orenburg Oblast, Russia","Buzuluk","locality","Russia","RU","Orenburg Oblast","gorod Buzuluk","","461046","",0
126554528,"F32D582D113F4C11893BC4141AC5EFF2","2019-09-01 00:03:18","2019-09-01 00:07:26","929032","5","88.156.xxx.xxx",6452,192,20,"Ruda Śląska","Poland","PL",50.3000,18.8833,"Rudzkie Sieci Komputerowe","Vectra Broadband","1","2","2","Poland","PL","Silesian Voivodeship","SL","Zabrze",50.316,18.783,4.56616,"41, Poland","Zabrze","locality","Poland","PL","Silesian Voivodeship","Zabrze","Zabrze","41","",7.34034
126554529,"F2AC0224151546FE8FFB856389F2D34A","2019-09-01 00:06:53","2019-09-01 00:07:27","2829376","5","67.81.xxx.xxx",467043,49002,4,"Hicksville, NY","United States","US",40.7654,-73.5474,"Optimum Online","Optimum Online","1","22","2","United States","US","New York","NY","Woodbury",40.818,-73.472,5.37017,"Woodbury, NY, USA","Woodbury","locality","United States","US","New York","Nassau County","Oyster Bay","11797","",8.63282
126554530,"350B3BD83DAC4A87B217E5FFE66D8726","2019-09-01 00:06:54","2019-09-01 00:07:27","8073586","5","185.108.xxx.xxx",5787,20338,30,"Dublin","Ireland","IE",53.3478,-6.2597,"Digiweb","Sternforth Ltd.","1","22","2","Ireland","IE","UNKNOWN","??",\N,53.347,-6.243,0.653743,"Ireland","Ireland","country","Ireland","IE","","","","","",1.05093
126554531,"5600B2C22F344D04A28D7B3455C0F973","2019-09-01 00:06:51","2019-09-01 00:07:28","7853586","5","85.26.xxx.xxx",7507,3972,40,"Samara","Russian Federation","RU",53.2333,50.1667,"Rostelecom","PJSC MegaFon","1","22","2","Russia","RU","Samara Oblast","SAM","Samara",53.183,50.118,3.98787,"Samara, Samara Oblast, Russia","Samara","locality","Russia","RU","Samara Oblast","gorod Samara","","443036","",6.41071
126554532,"119823F28B594786AA0A02690E449AE3","2019-09-01 00:06:52","2019-09-01 00:07:28","4318836","5","121.121.xxx.xxx",104626,55243,9,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"Maxis","Maxis Communications","1","22","2","Malaysia","MY","Selangor","10","Seri Kembangan",3.033,101.716,7.3551,"Seri Kembangan, Selangor, Malaysia","Seri Kembangan","locality","Malaysia","MY","Selangor","Petaling","Petaling","43300","",11.8237
126554533,"55452B12E59D4A05BFA86EF977AD6715","2019-09-01 00:07:34","2019-09-01 00:07:29","7740191","5","146.247.xxx.xxx",3918,4838,2,"Ulyanovsk","Russian Federation","RU",54.3249,48.3852,"DOM.RU","JSC ER-Telecom Holding","1","22","1","Russia","RU","Ulyanovsk Oblast","ULY","Dimitrovgrad",54.250,49.550,47.3139,"Russkiy Melekess, Ulyanovskaya oblast', Russia","Russkiy Melekess","locality","Russia","RU","Ulyanovsk Oblast","Melekessky District","","433537","",76.0596
126554534,"91BB4CE2EDA54AB0BE1F4FE26EFDFEE6","2019-09-01 00:06:53","2019-09-01 00:07:29","5251315","5","212.159.xxx.xxx",27522,16505,15,"Bristol","Great Britain","GB",51.4500,-2.5833,"Hub Network Services Ltd","Plusnet","1","22","2","United Kingdom","GB","Monmouthshire","MON","Mathern",51.614,-2.689,12.2585,"Chepstow NP16, UK","Mathern","locality","United Kingdom","GB","Wales","Monmouthshire","Mathern","NP16","",19.7062
126554535,"A8D6F52EEBD840AD8AD0767C1302A165","2019-09-01 00:06:53","2019-09-01 00:07:30","8056806","5","148.69.xxx.xxx",7411,10619,21,"Lisbon","Portugal","PT",38.7000,-9.1833,"Vodafone PT","Vodafone Portugal","1","2","2","Portugal","PT","Setubal","15","Barreiro",38.666,-9.066,6.70402,"2830, Portugal","Barreiro","locality","Portugal","PT","Setubal","","","2830","",10.7771
126554536,"6E60B2A0D7EA4AF58C6E76DC242EA3F5","2019-09-01 00:06:52","2019-09-01 00:07:32","8397270","5","217.225.xxx.xxx",2678,8181,23,"Darmstadt","Germany","DE",49.8728,8.6512,"fiberONE","Deutsche Telekom AG","1","2","2","Germany","DE","Baden-Württemberg","BW","Mannheim",49.488,8.464,27.875,"Mannheim, Germany","Mannheim","locality","Germany","DE","Baden-Württemberg","","","68159","2003:e5:9f21:dax:xxxx:xxxx:xxxx:xxxx",44.8105
