test_id,test_date,client_ip_id,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,user_agent,isp_name,is_isp,connection_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,km_between
8551477290,"2019-09-01 00:00:12","216329312","223.16.xxx.xxx",21882,3909,3,"Hong Kong","Hong Kong","HK",22.3964,114.1095,"Shanghai Huajuan Information Technology Co., Ltd.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15","HGC","1","2","Hong Kong","HK","Unknown","??","Shuen Wan",22.366,114.100,2.14239,"Hong Kong, Hong Kong","Hong Kong","locality","Hong Kong","HK","","","","",3.444
8551477292,"2019-09-01 00:00:12","561403054","27.106.xxx.xxx",11502,17854,63,"Mumbai","India","IN",18.9647,72.8258,"SevenStar pvt ltd.","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Syscon Infoway Pvt.","1","2","India","IN","Maharashtra","MH","Kharghar",19.049,73.070,17.033,"Navi Mumbai, Maharashtra, India","Navi Mumbai","locality","India","IN","Maharashtra","Thane","","400706",27.3814
8551477293,"2019-09-01 00:00:12","2241187063","212.239.xxx.xxx",3427,8798,33,"Zurich","Switzerland","CH",47.3690,8.5380,"Wingo","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 OPR/63.0.3368.53","Scarlet Belgium NV","1","2","Belgium","BE","Walloon Region","WAL","Nivelles",50.600,4.333,293.804,"Nivelles, Belgium","Nivelles","locality","Belgium","BE","Walloon Region","Walloon Brabant","","1400",472.305
8551477294,"2019-09-01 00:00:12","1084828297","165.225.xxx.xxx",44313,21534,35,"Perugia","Italy","IT",43.1122,12.3889,"Telecom Italia S.p.A.","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0","Zscaler","0","3","Italy","IT","Unknown","??",\N,43.147,12.109,14.3089,"Italy","Italy","country","Italy","IT","","","","",23.0023
8551477295,"2019-09-01 00:00:12","2229866479","78.110.xxx.xxx",51241,45862,4,"Tallinn","Estonia","EE",59.4339,24.7549,"Elisa","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Telia Eesti","1","2","Estonia","EE","Harju County","37","Tallinn",59.433,24.728,0.942704,"Tallinn, Estonia","Tallinn","locality","Estonia","EE","Harju County","Tallinna linn","","10137",1.51545
8551477296,"2019-09-01 00:00:12","279519692","223.223.xxx.xxx",43639,35277,2,"Kolkata","India","IN",22.5667,88.3667,"WISH NET PRIVATE LIMITED","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Wish Net","1","2","India","IN","West Bengal","WB","Chamrail",22.639,88.304,6.41162,"Baigachhi, West Bengal, India","Baigachhi","locality","India","IN","West Bengal","Howrah","","711205",10.307
8551477297,"2019-09-01 00:00:12","2241187067","120.38.xxx.xxx",111207,337,17,"Fuzhou","China","CN",26.0761,119.3064,"China Unicom FuJian","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","China Telecom FUJIAN","1","2","China","CN","Fujian","FJ","Fuzhou",26.061,119.306,1.01697,"Fuzhou, Fujian, China","Fuzhou","locality","China","CN","Fujian","","","",1.63483
8551477298,"2019-09-01 00:00:12","2215800815","218.205.xxx.xxx",94560,5977,11,"Nanjing","China","CN",32.0602,118.7968,"China Unicom","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/2.0.5 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Mobile Guangdong","1","4","China","CN","Jiangsu","JS","Changzhou",31.783,119.966,71.3046,"Changzhou, Jiangsu, China","Changzhou","locality","China","CN","Jiangsu","","","",114.626
8551477301,"2019-09-01 00:00:12","1195741158","176.205.xxx.xxx",212224,88846,6,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36","Emirates Telecommunications Corporation","1","2","United Arab Emirates","AE","Abu Dhabi","AZ","Abu Dhabi",24.466,54.366,79.7909,"United Arab Emirates","United Arab Emirates","country","United Arab Emirates","AE","","","","",128.268
8551477303,"2019-09-01 00:00:12","2176725441","49.36.xxx.xxx",43297,81269,5,"Mumbai","India","IN",18.9647,72.8258,"Railtel Corporation of india Ltd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Jio","1","2","India","IN","Maharashtra","MH","Mumbai",18.975,72.825,0.712432,"Mumbai, Maharashtra, India","Mumbai","locality","India","IN","Maharashtra","Mumbai","","400012",1.14527
